Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,5987000.0
Depreciación y amortización ,1745000.0
Impuestos sobre la renta diferidos,602000.0
Compensación con base en acciones,289000.0
Cambio en el capital circulante,535000.0
Cuentas a pagar,1640000.0
Otro capital circulante,6765000.0
Efectivo neto proporcionado por actividades en curso,8061000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1296000.0
Adquisiciones netas,1552000.0
Compras de inversiones,16236000.0
Ventas/vencimientos de inversiones,13536000.0
Otras actividades de inversión,24000.0
Efectivo neto usado para actividades de inversión,5572000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2174000.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,2676000.0
Dividendos pagados,1395000.0
Otras actividades de financiación,92000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,3349000.0
Cambio neto en efectivo,861000.0
Efectivo al inicio del periodo,7387000.0
Efectivo al final del periodo,6526000.0
Flujo de caja libre,0.0
Flujo de caja operativo,8061000.0
Inversiones en bienes de capital,1296000.0
Flujo de caja libre,6765000.0
