Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,2489000.0
Depreciación y amortización ,917000.0
Impuestos sobre la renta diferidos,167000.0
Compensación con base en acciones,175000.0
Cambio en el capital circulante,81000.0
Cuentas por cobrar,0.0
Cuentas a pagar,915000.0
Otro capital circulante,2977000.0
Otros artículos no monetarios,113000.0
Efectivo neto proporcionado por actividades en curso,3981000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1004000.0
Adquisiciones netas,233000.0
Compras de inversiones,7552000.0
Ventas/vencimientos de inversiones,5087000.0
Efectivo neto usado para actividades de inversión,3492000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2432000.0
Acción ordinaria readquirida,1573000.0
Dividendos pagados,431000.0
Otras actividades de financiación,725000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,856000.0
Cambio neto en efectivo,367000.0
Efectivo al inicio del periodo,5061000.0
Efectivo al final del periodo,4694000.0
Flujo de caja libre,0.0
Flujo de caja operativo,3981000.0
Inversiones en bienes de capital,1004000.0
Flujo de caja libre,2977000.0
