Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2750100.0
Otras inversiones a corto plazo,2473100.0
Caja total,5223200.0
Cuentas pendientes netas,1130200.0
Inventario,1220600.0
Otros activos circulantes,176700.0
Activos corrientes totales,7888000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",5099600.0
Depreciación acumulada,1562000.0
"Propiedad neta, planta y equipo",3537600.0
Acciones y otras inversiones,2120000.0
Valor llave,348700.0
Activos intangibles,39100.0
Otros activos a largo plazo,597600.0
Total de activos no corrientes,7553500.0
Activos totales,15441500.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Cuentas a pagar,188700.0
Obligaciones devengadas,476100.0
Ingresos diferidos,446100.0
Pasivos circulantes totales,1658700.0
Obligaciones no corrientes,0.0
Ingresos diferidos,45600.0
Otras obligaciones a largo plazo,106100.0
Total de obligaciones no corrientes,385500.0
Pasivos totales,2044200.0
Patrimonio neto,0.0
Acción ordinaria,400.0
Ganancias retenidas,4743000.0
Otro ingreso integral acumulado,12200.0
Total de patrimonio neto de los accionistas,13307600.0
Total de obligaciones y capital de los accionistas,15441500.0
