Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1798000.0
Depreciación y amortización ,421800.0
Impuestos sobre la renta diferidos,280800.0
Compensación con base en acciones,592800.0
Cambio en el capital circulante,777600.0
Cuentas por cobrar,186300.0
Inventario,712500.0
Cuentas a pagar,41700.0
Otro capital circulante,749600.0
Otros artículos no monetarios,33000.0
Efectivo neto proporcionado por actividades en curso,1813800.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1064200.0
Adquisiciones netas,8900.0
Compras de inversiones,2207400.0
Ventas/vencimientos de inversiones,2920400.0
Efectivo neto usado para actividades de inversión,360100.0
Flujos de caja provenientes de actividades financieras,0.0
Acción ordinaria readquirida,416300.0
Otras actividades de financiación,167600.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,287600.0
Cambio neto en efectivo,1169400.0
Efectivo al inicio del periodo,1600700.0
Efectivo al final del periodo,2770100.0
Flujo de caja libre,0.0
Flujo de caja operativo,1813800.0
Inversiones en bienes de capital,1064200.0
Flujo de caja libre,749600.0
