Descripcion,Valor
Ingresos totales,7124100.0
Costo de ganancias,2394600.0
Ganancia bruta,4729500.0
Gastos operativos,0.0
Investigación y desarrollo,998800.0
Ventas: generales y administrativas,1963900.0
Gastos operativos totales,2962700.0
Ingresos o pérdidas operativos,1766800.0
Ingreso antes de impuestos,1958900.0
Impuesto a las ganancias,141600.0
Ingreso de operaciones continuas,1817300.0
Ingresos netos,1798000.0
Ingreso neto disponible para accionistas comunes,1798000.0
EPS básicas,5.12
BPA diluido,5.03
Promedio de acciones básicas,351200.0
Promedio de acciones diluidas,357400.0
