Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2907000.0
Otras inversiones a corto plazo,5697000.0
Caja total,8604000.0
Cuentas pendientes netas,892000.0
Inventario,202000.0
Otros activos circulantes,88000.0
Activos corrientes totales,10325000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",3091000.0
Depreciación acumulada,433000.0
"Propiedad neta, planta y equipo",2658000.0
Acciones y otras inversiones,4743000.0
Valor llave,52000.0
Activos intangibles,44000.0
Otros activos a largo plazo,181000.0
Total de activos no corrientes,8101000.0
Activos totales,18426000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Cuentas a pagar,520000.0
Impuestos que se deben pagar,63000.0
Obligaciones devengadas,997000.0
Ingresos diferidos,568000.0
Otros pasivos circulantes,41000.0
Pasivos circulantes totales,3015000.0
Obligaciones no corrientes,0.0
Ingresos diferidos,83000.0
Otras obligaciones a largo plazo,256000.0
Total de obligaciones no corrientes,1557000.0
Pasivos totales,4572000.0
Patrimonio neto,0.0
Acción ordinaria,0.0
Ganancias retenidas,13606000.0
Otro ingreso integral acumulado,123000.0
Total de patrimonio neto de los accionistas,13854000.0
Total de obligaciones y capital de los accionistas,18426000.0
