Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,4714000.0
Depreciación y amortización ,621000.0
Impuestos sobre la renta diferidos,828000.0
Compensación con base en acciones,305000.0
Cambio en el capital circulante,139000.0
Cuentas por cobrar,493000.0
Inventario,747000.0
Cuentas a pagar,13000.0
Otro capital circulante,3825000.0
Otros artículos no monetarios,7000.0
Efectivo neto proporcionado por actividades en curso,3118000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",707000.0
Adquisiciones netas,85000.0
Compras de inversiones,3760000.0
Ventas/vencimientos de inversiones,8781000.0
Otras actividades de inversión,23000.0
Efectivo neto usado para actividades de inversión,4206000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,0.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,1153000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,1377000.0
Cambio neto en efectivo,289000.0
Efectivo al inicio del periodo,3217000.0
Efectivo al final del periodo,2928000.0
Flujo de caja libre,0.0
Flujo de caja operativo,3118000.0
Inversiones en bienes de capital,707000.0
Flujo de caja libre,3825000.0
