Descripcion,Valor
Ingresos totales,6754000.0
Costo de ganancias,4693000.0
Ganancia bruta,2061000.0
Gastos operativos,0.0
Investigación y desarrollo,4845000.0
Ventas: generales y administrativas,1549000.0
Gastos operativos totales,6300000.0
Ingresos o pérdidas operativos,4239000.0
Gastos de interés,38000.0
Valor neto total de otros gastos/ingresos,86000.0
Ingreso antes de impuestos,3942000.0
Impuesto a las ganancias,772000.0
Ingreso de operaciones continuas,4714000.0
Ingresos netos,4714000.0
Ingreso neto disponible para accionistas comunes,4714000.0
EPS básicas,12.33
BPA diluido,12.33
Promedio de acciones básicas,382000.0
Promedio de acciones diluidas,382000.0
