Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2971000.0
Otras inversiones a corto plazo,82000.0
Caja total,3053000.0
Cuentas pendientes netas,3765000.0
Inventario,4843000.0
Otros activos circulantes,857000.0
Activos corrientes totales,12518000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",6344000.0
Depreciación acumulada,3129000.0
"Propiedad neta, planta y equipo",3215000.0
Valor llave,15243000.0
Activos intangibles,4593000.0
Otros activos a largo plazo,2673000.0
Total de activos no corrientes,27394000.0
Activos totales,39912000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,2094000.0
Cuentas a pagar,1517000.0
Impuestos que se deben pagar,391000.0
Obligaciones devengadas,2137000.0
Pasivos circulantes totales,7921000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,10901000.0
Otras obligaciones a largo plazo,1930000.0
Total de obligaciones no corrientes,13398000.0
Pasivos totales,21319000.0
Patrimonio neto,0.0
Acción ordinaria,38000.0
Ganancias retenidas,16771000.0
Otro ingreso integral acumulado,416000.0
Total de patrimonio neto de los accionistas,18593000.0
Total de obligaciones y capital de los accionistas,39912000.0
