Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,3165000.0
Depreciación y amortización ,1028000.0
Impuestos sobre la renta diferidos,206000.0
Compensación con base en acciones,205000.0
Cambio en el capital circulante,500000.0
Cuentas por cobrar,175000.0
Inventario,797000.0
Cuentas a pagar,77000.0
Otro capital circulante,3136000.0
Otros artículos no monetarios,17000.0
Efectivo neto proporcionado por actividades en curso,3711000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",575000.0
Adquisiciones netas,390000.0
Compras de inversiones,52000.0
Ventas/vencimientos de inversiones,54000.0
Otras actividades de inversión,1000.0
Efectivo neto usado para actividades de inversión,962000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2058000.0
Acción ordinaria readquirida,0.0
Dividendos pagados,1139000.0
Otras actividades de financiación,178000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,1594000.0
Cambio neto en efectivo,1127000.0
Efectivo al inicio del periodo,1844000.0
Efectivo al final del periodo,2971000.0
Flujo de caja libre,0.0
Flujo de caja operativo,3711000.0
Inversiones en bienes de capital,575000.0
Flujo de caja libre,3136000.0
