Descripcion,Valor
Ingresos totales,20498000.0
Costo de ganancias,7440000.0
Ganancia bruta,13058000.0
Gastos operativos,0.0
Investigación y desarrollo,1388000.0
Ventas: generales y administrativas,7129000.0
Gastos operativos totales,9152000.0
Ingresos o pérdidas operativos,3906000.0
Valor neto total de otros gastos/ingresos,233000.0
Ingreso antes de impuestos,3673000.0
Impuesto a las ganancias,508000.0
Ingreso de operaciones continuas,3165000.0
Ingresos netos,3165000.0
Ingreso neto disponible para accionistas comunes,3165000.0
EPS básicas,8.34
BPA diluido,8.25
Promedio de acciones básicas,379600.0
Promedio de acciones diluidas,383700.0
