Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,10369100.0
Otras inversiones a corto plazo,849200.0
Caja total,11218300.0
Cuentas pendientes netas,1563400.0
Inventario,738800.0
Otros activos circulantes,84300.0
Activos corrientes totales,14144200.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",2641800.0
Depreciación acumulada,1188900.0
"Propiedad neta, planta y equipo",1452900.0
Acciones y otras inversiones,2497800.0
Valor llave,1088000.0
Activos intangibles,839900.0
Otros activos a largo plazo,895300.0
Total de activos no corrientes,8586000.0
Activos totales,22730200.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Cuentas a pagar,364900.0
Obligaciones devengadas,2318200.0
Ingresos diferidos,170300.0
Otros pasivos circulantes,273200.0
Pasivos circulantes totales,3547400.0
Obligaciones no corrientes,0.0
Otras obligaciones a largo plazo,196300.0
Total de obligaciones no corrientes,1602400.0
Pasivos totales,5149800.0
Patrimonio neto,0.0
Acción ordinaria,2600.0
Ganancias retenidas,10142400.0
Otro ingreso integral acumulado,14300.0
Total de patrimonio neto de los accionistas,17580400.0
Total de obligaciones y capital de los accionistas,22730200.0
