Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,3619600.0
Depreciación y amortización ,181300.0
Impuestos sobre la renta diferidos,536500.0
Compensación con base en acciones,581200.0
Cambio en el capital circulante,265700.0
Cuentas por cobrar,84100.0
Inventario,322900.0
Cuentas a pagar,48700.0
Otro capital circulante,3278900.0
Otros artículos no monetarios,43200.0
Efectivo neto proporcionado por actividades en curso,3537300.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",258400.0
Adquisiciones netas,0.0
Compras de inversiones,3817500.0
Ventas/vencimientos de inversiones,934200.0
Efectivo neto usado para actividades de inversión,3141700.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,44900.0
Acción ordinaria readquirida,653700.0
Otras actividades de financiación,0.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,562200.0
Cambio neto en efectivo,139700.0
Efectivo al inicio del periodo,10512000.0
Efectivo al final del periodo,10372300.0
Flujo de caja libre,0.0
Flujo de caja operativo,3537300.0
Inversiones en bienes de capital,258400.0
Flujo de caja libre,3278900.0
