Descripcion,Valor
Ingresos totales,9869200.0
Costo de ganancias,1262200.0
Ganancia bruta,8607000.0
Gastos operativos,0.0
Investigación y desarrollo,3162900.0
Ventas: generales y administrativas,1136600.0
Gastos operativos totales,4299500.0
Ingresos o pérdidas operativos,4307500.0
Gastos de interés,44100.0
Valor neto total de otros gastos/ingresos,498300.0
Ingreso antes de impuestos,4379800.0
Impuesto a las ganancias,760200.0
Ingreso de operaciones continuas,3619600.0
Ingresos netos,3619600.0
Ingreso neto disponible para accionistas comunes,3619600.0
EPS básicas,14.05
BPA diluido,13.89
Promedio de acciones básicas,257700.0
Promedio de acciones diluidas,260500.0
